stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_code
CF,Confederation GO,43.241874,-79.760331,80,https://www.gotransit.com/find-a-station-or-stop/CF/station-details,0,,1,
CE,Centennial GO,43.873601,-79.289211,72,https://www.gotransit.com/find-a-station-or-stop/CE/station-details,0,,1,
BU,Burlington GO,43.341265,-79.809141,16,https://www.gotransit.com/find-a-station-or-stop/BU/station-details,0,,1,
BR,Brampton Innovation District GO,43.6869087,-79.7628632,33,https://www.gotransit.com/find-a-station-or-stop/BR/station-details,0,,1,
BO,Bronte GO,43.416774,-79.722294,14,https://www.gotransit.com/find-a-station-or-stop/BO/station-details,0,,1,
BM,Bloomington GO,43.975949,-79.397258,98,https://www.gotransit.com/find-a-station-or-stop/BM/station-details,0,,1,
BL,Bloor GO,43.656928,-79.450192,01,https://www.gotransit.com/find-a-station-or-stop/BL/station-details,0,,1,
BE,Bramalea GO,43.7022591,-79.6887512,32,https://www.gotransit.com/find-a-station-or-stop/BE/station-details,0,,1,
BD,Bradford GO,44.116513,-79.555394,65,https://www.gotransit.com/find-a-station-or-stop/BD/station-details,0,,1,
BA,Barrie South GO,44.35112,-79.627441,68,https://www.gotransit.com/find-a-station-or-stop/BA/station-details,0,,1,
AU,Aurora GO,44.000758,-79.459725,63,https://www.gotransit.com/find-a-station-or-stop/AU/station-details,0,,1,
AP,Appleby GO,43.379429,-79.760991,15,https://www.gotransit.com/find-a-station-or-stop/AP/station-details,0,,1,
AL,Aldershot GO,43.313385,-79.855659,17,https://www.gotransit.com/find-a-station-or-stop/AL/station-details,0,,1,
AJ,Ajax GO,43.847766,-79.041372,92,https://www.gotransit.com/find-a-station-or-stop/AJ/station-details,0,,1,
AG,Agincourt GO,43.78611,-79.284385,07,https://www.gotransit.com/find-a-station-or-stop/AG/station-details,0,,1,
AD,Allandale Waterfront GO,44.374139,-79.687858,69,https://www.gotransit.com/find-a-station-or-stop/AD/station-details,0,,1,
AC,Acton GO,43.6338043,-80.034111,37,https://www.gotransit.com/find-a-station-or-stop/AC/station-details,0,,1,
