service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,1,1,1,1,1,0,0,20260201,20260502
3,0,0,0,0,0,1,0,20260201,20260502
4,0,0,0,0,0,0,1,20260201,20260502
30,0,0,0,0,0,0,0,20260201,20260502
3302,0,0,0,0,0,0,0,20260201,20260502
3602,0,0,0,0,0,0,0,20260201,20260502
3903,0,0,0,0,0,0,0,20260201,20260502
6404,0,0,0,0,0,0,0,20260201,20260502
